"questId[String]","name[String]","description[String]","count[Int]"
"Welcome","You've Got Mail","Find your mailbox and open it.","0"
"Welcome","You've Got Mail","Read the letter in your mailbox.","0"
"Welcome","Collect RP","Claim the Reward Points in the letter.","0"
"Welcome","All done!","Close your mailbox.","0"
"Map","Find Map Pieces","1 of 3 found","0"
"Map","Find Map Pieces","2 of 3 found","0"
"Map","Map of Adventurers","Assemble the Map of Adventurers onto the central table.","0"
"Raid1","Access the Map","(Coming soon) Interact with the central table to access the Map of Adventures.","0"
"Raid1","Begin Adventure","Press [Play] on the Map to begin an adventure.","0"
"Raid1","Hey!","Speak to <joe unnamed> to learn what's happening.","0"
"Raid1","Defeat Foes","Clear all menacing foes down the cobble path.","6"
"Raid1","Loot!","Collect all treasure dropped by foes.","0"
"Raid1","Select Class","Choose your class: Warrior, Hunter or Mage?","0"
"Raid1","Portal Home","Use the portal scroll and return to the manor.","0"
"Equip","Equip New Item","Open your inventory and equip the new item you've earned.","0"
"Raid2","Double Duty","Interact with the central table to access the Map of Adventures.","0"
"Raid2","Collect Leather","Defeat raptors and collect pieces of Lizard Leather.","4"
"Raid2","Loot!","Collect all treasure dropped by foes.","0"
"Raid2","Portal Home","Use the portal scroll and return to the manor.","0"
"Craft1","Upgrade Item","Access the crafting room, now that you have a key.","0"
"Craft1","Access Anvil","Interact with the anvil to access item crafting.","0"
"Craft1","Upgrade Item","Upgrade one of your items to improve its greatness.","0"
"Lv5","Level up!","Reach character level 5.","0"
"Potions","Potion Crafting","Access the crafting room.","0"
"Potions","Drink Me","Interact with the cauldron to access potion crafting.","0"
"Potions","Let's Brew","Make a potion to fill your empty slot.","0"
"Pig","Phillip, the Pig","Visit <unnamedville> and help solve a mystery.","0"
"Pig","Welcome to <unnamedville>","Go to town square and check out the harvest parade.","0"
"Pig","Talk to the Mayor","What's got the mayor upset? Talk to him and find out.","0"
"Pig","Detective Work","Search for clues as to the disappearence of Phillip.","0"
"Pig","Hot Trail","Follow the fresh trail left by no-gooders.","0"
"Pig","There Must be a Way","Find a way into the encampment.","0"
"Pig","Pigsty","Locate Phillip, the pig with an outie bellie-button.","0"
"Pig","Ack! Goblins!","Locate Phillip, the pig with an outie bellie-button.","0"
"Pig","Celebration","The harvest festival is saved, thanks to you!","0"
"Pig","Well done!","Use the portal scroll and return to the manor.","0"
"Study","Ability Ascension","Open the shop and buy an Incense.","0"
"Study","Library","Pick the book corresponding to your favorite ability.","0"
"Study","Have a Seat","Choose any sitting place and sit down.","0"
"Study","Upgrade","Spend the Incense and upgrade the ability.","0"
"Pint","Bartender Duty","Go behind the bar and take an empty cup.","0"
"Pint","Top Up","Fill the cup at one of the barrel filling stations.","0"
"Pint","You Have Been Served","Interact with the bar to serve the drink.","0"
"Pinball","Balls of Steel","Go to Pirate Pinball and begin a game.","0"
"Pinball","Balls of Steel","Play until you run out of balls.","0"
"ThrowChair","Tavern Brawl","Go to the tavern and pick up a chair.","0"
"ThrowChair","Throw With Your Hips","Throw the chair.","0"
"ThrowChair","Savage!","Hit someone with the chair.","0"
"Poker","All in!","Go to the poker table and sit down.","0"
"Poker","All in!","Begin playing a round of poker.","0"
"Poker","All in!","Win a round of Texas Hold'em.","0"
