"id[String]","incidence[Int]","rewards[String]"
"XP","1","XP(RNG[1-200])"
"Coins","1","Material(Coins=RNG[10-30])"
"BonesPlusCoins","2","Loop(RNG[5-8]=Bone1), Wait(0.5), Material(Coins=RNG[3-15])"
"CoinsPlusMat","1","Material(Coins=RNG[3-15]), Wait(1), Ref(RngMat)"
"Bone1","0","Material(Bone=1), Wait(0.5)"
"RngMat","0","Ref(RoyalPermits | Encantations | Gems)"
"RoyalPermits","0","Material(RoyalPermits=1)"
"Encantations","0","Material(Encantations=1)"
"Gems","0","Material(Gems=1)"
"GLItemDrop","1","RandomItem(Greatness=RNG[1-10]), Wait(0.5), Material(Coins=RNG[5-30],Wait(0.5),Ref(XP)"
