"id[String]","incidence[Int]","rewards[String]"
"XP","1","XP(RNG[1-400])"
"Coins","1","Material(Coins=RNG[10-30])"
"BonesPlusCoins","2","Loop(RNG[8-15]=Bone1), Wait(0.5), Material(Coins=RNG[25-100])"
"CoinsPlusMat","1","Material(Coins=RNG[25-100]), Wait(1), Ref(RngMat)"
"Bone1","1","Material(Bone=1), Wait(0.5),Material(Bone=1), Wait(0.5),Material(Bone=1)"
"RngMat","0","Ref(RoyalPermits | Encantations | Gems)"
"RoyalPermits","0","Material(RoyalPermits=RNG[2-3])"
"Encantations","0","Material(Encantations=RNG[2-3])"
"Gems","0","Material(Gems=RNG[2-3])"
"GoodLuckItemDrop","1","RandomItem(Greatness=RNG[1-15]), Wait(0.5),Loop(3=Coins),Wait(0.5),Ref(XP)"
