"id[String]","Order[Int]","category[String]","icon[Asset Reference]","flipIconH[Bool]","flipIconV[Bool]","equipment[Asset Reference]","equipmentHollow[Asset Reference]","itemAsset[Asset Reference]","tag[String]","W[Int]","A[Int]","V[Int]","AP[Int]","SP[Int]","SR[Int]","B[Int]","H[Int]"
"Short Sword","1","weapon","579EACD4DBBBEB41","True","False","08D5445D17803537","29F2669F95A5B7A4","2A5D25E0D194EDEC","","0","5","0","20","0","0","0","0"
"Quarterstaff","2","weapon","1F6F889F3CB9B3B0","True","False","F950AE3B36871D61","E9EE62EB02F7C7FE","C340E9016B2952B2","","0","0","5","25","0","0","0","0"
"Warhammer","3","weapon","0E51B0EE7503C5D7","True","False","A2AAEC24226AC47F","94D546223C5943F2","6F46D8C1A43CA6E7","","0","0","5","50","0","0","0","0"
"Maul","4","weapon","14E15C6C9F19F975","True","False","64488C32A1BBEE3B","54F12F4D2D59413D","B73D16C92288AC57","","0","0","5","40","0","0","0","0"
"Mace","5","weapon","6E30754BCB9C6E0E","True","False","F4C2989EF46ECD3F","635103DA7BACF7D2","10C58B961472F285","","0","0","5","30","0","0","0","0"
"Club","6","weapon","2BB76739BD6AF4FE","True","False","35B4A03C61159436","E6544FA26CC06A47","BE5D67DDE59231BF","","0","0","5","20","0","0","0","0"
"Katana","7","weapon","C3A2430B8F404C83","False","True","4C15E4EDE4E41380","79806FAA059BBF11","915439E72E5A1DC0","","0","5","0","25","0","0","0","0"
"Falchion","8","weapon","039ADCE455A7BDF5","False","True","340199B3A4984F9C","35E8127C3E7367B5","396B92B49F9EB003","","0","5","0","35","0","0","0","0"
"Scimitar","9","weapon","9D894FCBB8DC422C","False","True","5C9B598E5632170E","EDA2FA725C99D2C4","C42D8C8FE965FE43","","0","5","0","30","0","0","0","0"
"Long Sword","10","weapon","A8835D8D4D1FDBA6","False","True","4F9C187F12EB91DB","803B28449F7C7BEB","E637CA6CB12EBB75","","0","5","0","25","0","0","0","0"
"Ghost Wand","11","weapon","F75DFF89C9A0F1F2","False","False","1354FFFC58BE96E9","953013648ECDBB1D","BE70DCE389C3A098","","5","0","0","28","0","0","0","0"
"Grave Wand","12","weapon","C264FACF04843CBA","True","False","5AFD84D9F61151C6","61AC5607C1066CC9","B3EBF614130DDE91","","5","0","0","26","0","0","0","0"
"Bone Wand","13","weapon","D0BB0B0DEA85FB37","False","False","ECB2B4BF36B202D0","0672901FB63A327D","89AF98D59DC5F2EF","","5","0","0","24","0","0","0","0"
"Wand","14","weapon","2C9FDB0A9C2FA99E","False","False","16E0FE468E9A98EC","FCD160691D55FEEC","2E52BAD0978EC048","","5","0","0","22","0","0","0","0"
"Grimoire","15","weapon","56187E84E7033EB9","True","False","703C8B9B86FFEE56","F501B193B03CF3C1","A88A130E97E16C37","","5","0","0","14","0","0","0","0"
"Chronicle","16","weapon","434F13E47BF18C88","False","False","1A2B37B88B8F58F9","A7C603863FB4ADF9","54A54FE5F0653774","","5","0","0","12","0","0","0","0"
"Tome","17","weapon","DDA249022A0AD0AE","False","False","5040A48D69912473","166E19CEFEB9B15E","62A281E2380CB442","","5","0","0","10","0","0","0","0"
"Book","18","weapon","5DF2CA74B57C7504","False","False","1C1F5C7ECD6B4AC5","E972F67125B34B9B","022AF1553C310A49","","5","0","0","8","0","0","0","0"
