"questId[String]","name[String]","description[String]","count[Int]"
"Welcome","You've Got Mail","Find your mailbox and open it.","0"
"Welcome","Welcome to Loot MMO!","Close your mailbox to collect a special item.","0"
"Map","Find Map Pieces","1 of 3 found","0"
"Map","Find Map Pieces","2 of 3 found","0"
"Map","Map of Adventurers","Assemble the Map of Adventurers onto the central table.","0"
"Raid1","First Adventure","Interact with the central table to access the Map of Adventures.","0"
"Raid1","First Adventure","Press [Play] on the Map to begin an adventure.","0"
"Raid1","First Adventure","Complete ""Beast Control"" and claim its reward.","0"
"Raid1","First Adventure","Press [T] to summon a portal back to the tavern.","0"
"Raid1","First Adventure","Take portal back to the tavern and claim your reward.","0"
"Beasts1","Beast Control","Protect heedless travellers by defeating beasts nearby the tavern.","4"
"Dragons1","Winged Waterways","Secure the tavern's river crossings by defeating whelps.","5"
"Undead1","The Undead","Investigate the mine and clear it of all undead.","8"
"Spiders1","Ack! Spiders!","","8"
"Lv2","Show Some Class","Press [H] to improve your character.","0"
"Equip","Equip New Item","Press [i] to open your inventory and equip the new item you've earned.","0"
"Raid2","Double Duty","Access the Map of Adventures and begin Winged Waterways.","0"
"Raid2","Double Duty","Defeat whelps to secure river crossings","0"
"Raid2","Double Duty","Press [T] to summon the portal and then return to the tavern.","0"
"Raid3","Remnants of War","Access the Map of Adventures and begin The Undead.","0"
"Raid3","Remnants of War","Clear the mine of all undead.","0"
"Craft1","Upgrade Item","Access the crafting room, now that you have a key.","0"
"Craft1","Access Anvil","Interact with the anvil to access equipment crafting.","0"
"Craft1","Access Cauldron","Interact with the cauldron to access potion crafting.","0"
"Lv5","Level up!","Reach character level 5.","0"
"Lv8","Level up!","Reach character level 8.","0"
"Potions","Potion Crafting","Access the crafting room.","0"
"Potions","Drink Me","Interact with the cauldron to access potion crafting.","0"
"Potions","Let's Brew","Make a potion to fill your empty slot.","0"
"Pig","Phillip, the Pig","Visit <unnamedville> and help solve a mystery.","0"
"Pig","Welcome to <unnamedville>","Go to town square and check out the harvest parade.","0"
"Pig","Talk to the Mayor","What's got the mayor upset? Talk to him and find out.","0"
"Pig","Detective Work","Search for clues as to the disappearence of Phillip.","0"
"Pig","Hot Trail","Follow the fresh trail left by no-gooders.","0"
"Pig","There Must be a Way","Find a way into the encampment.","0"
"Pig","Pigsty","Locate Phillip, the pig with an outie bellie-button.","0"
"Pig","Ack! Goblins!","Locate Phillip, the pig with an outie bellie-button.","0"
"Pig","Celebration","The harvest festival is saved, thanks to you!","0"
"Pig","Well done!","Use the portal scroll and return to the manor.","0"
"Study","Ability Ascension","Open the shop and buy an Incense.","0"
"Study","Library","Pick the book corresponding to your favorite ability.","0"
"Study","Have a Seat","Choose any sitting place and sit down.","0"
"Study","Upgrade","Spend the Incense and upgrade the ability.","0"
"Pint","Bartender Duty","Go behind the bar and take an empty cup.","0"
"Pint","Top Up","Fill the cup at one of the barrel filling stations.","0"
"Pint","You Have Been Served","Interact with the bar to serve the drink.","0"
"Pinball","Balls of Steel","Go to Pinball Pirates and begin a game.","0"
"Pinball","Balls of Steel","Play a round of Pinball Pirates until you run out of balls.","0"
"ThrowChair","Tavern Brawl","Go to the dining room and pick up a chair.","0"
"ThrowChair","Throw With Your Hips","Throw the chair.","0"
"ThrowChair","Savage!","Hit someone with a chair.","0"
"Poker","All in!","Go to the poker table and have a seat.","0"
"Poker","All in!","Begin playing a round of poker.","0"
"Poker","All in!","Win a round of Tavern Hold'em.","0"
"Relic","TODO","TODO","0"
"AnnoyTheDemon","Annoy The Demon","Go Annoy the demon on the second floor because you can.","0"
"DemonQuest","Demon Quest","The Demon tricked you, to get you out of his hair. Teleport back to the tavern.","0"
